combo,arch,tissue,india_auc,india_ci_low,india_ci_high,india_ci_half_width,india_sd_across_repeats,italy_auc,italy_ci_low,italy_ci_high,overall_auc,overall_ci_low,overall_ci_high,gap,gap_ci_low,gap_ci_high,gap_ci_excludes_zero,india_pairs,italy_pairs,n_repeats,n_splits,seed,learning_rate,weight_decay,dropout_rate,runtime_seconds
convnext_tiny_palpebral_v2_clean,convnext_tiny,palpebral,0.7189931350114416,0.5835240274599542,0.8398169336384439,0.12814645308924483,0.022372899396477703,0.8426190476190476,0.7184226190476191,0.9369196428571428,0.8579682000242748,0.8003368127199904,0.9077648986527491,-0.123625912607606,-0.295738769478043,0.05055999373433567,False,1311,1680,5,5,42,0.0005854944023048902,2.0094111846413368e-05,0.2,1994.8
convnext_tiny_forniceal_palpebral_v2_clean,convnext_tiny,forniceal_palpebral,0.6974828375286042,0.5621662852784135,0.8314454614797864,0.13463958810068644,0.03134166891611213,0.8712858094603598,0.7581445702864756,0.9593770819453696,0.8310113519091848,0.7564338235294118,0.8942369711042311,-0.17380297193175567,-0.34533016636252156,-0.009582741940155884,True,1311,1501,5,5,42,0.07734445970634252,0.00047982072674057337,0.5,420.4
efficientnet_b0_forniceal_palpebral_v2_clean,efficientnet_b0,forniceal_palpebral,0.6323417238749046,0.4736651411136537,0.7795575896262394,0.15294622425629287,0.028453710836909958,0.8619586942038641,0.7414890073284476,0.9573617588274483,0.8668730650154799,0.8188789989680082,0.9111197110423116,-0.22961697032895945,-0.4022074655543647,-0.05142875763983426,True,1311,1501,5,5,42,0.0013292918943162175,0.0007114476009343421,0.2,439.7
resnet18_forniceal_palpebral_v2_clean,resnet18,forniceal_palpebral,0.6248665141113654,0.4805491990846682,0.7651029748283752,0.1422768878718535,0.032251107167541,0.8938041305796137,0.7774650233177881,0.9687041972018655,0.8031991744066047,0.7070433436532507,0.8759029927760578,-0.2689376164682482,-0.4336971004837355,-0.09554041267174558,True,1311,1501,5,5,42,0.00029380279387035364,2.9375384576328313e-06,0.5,1127.9
resnet18_palpebral_v2_clean,resnet18,palpebral,0.5919145690312739,0.4469679633867276,0.7292334096109838,0.1411327231121281,0.03827967887909871,0.8492857142857144,0.7232142857142858,0.9452529761904761,0.8313387547032406,0.7720445442408059,0.8863970142007527,-0.2573711452544404,-0.42512572191347936,-0.08609281355562846,True,1311,1680,5,5,42,0.0021454841512197117,1.1211234935464234e-06,0.2,396.8
mobilenet_v3_small_forniceal_palpebral_v2_clean,mobilenet_v3_small,forniceal_palpebral,0.5876430205949656,0.40961098398169343,0.7505720823798627,0.17048054919908465,0.06516629648796736,0.7534976682211859,0.6162391738840772,0.8720852764823451,0.736764705882353,0.6520672084623323,0.8085719814241485,-0.16585464762622018,-0.38861990557019965,0.05293258600546498,False,1311,1501,5,5,42,0.008044777829695324,0.0001488394312303403,0.5,131.1
densenet121_palpebral_v2_clean,densenet121,palpebral,0.586880244088482,0.4233409610983982,0.7376239511823035,0.15714149504195266,0.04259818262311865,0.8194047619047617,0.6850892857142857,0.9280059523809523,0.8059473237043331,0.6970415098919772,0.8783984706881903,-0.23252451781627986,-0.4171886577857687,-0.052277058134466724,True,1311,1680,5,5,42,0.00029380279387035364,2.9375384576328313e-06,0.5,2335.6
densenet121_forniceal_palpebral_v2_clean,densenet121,forniceal_palpebral,0.5810831426392067,0.43171243325705566,0.7185926773455374,0.1434401220442409,0.03764130102405159,0.853564290473018,0.7288474350433044,0.9540473017988007,0.807688338493292,0.7440531475748194,0.8657217492260061,-0.2724811478338113,-0.46831267077986655,-0.07445519412179323,True,1311,1501,5,5,42,0.018362839120451776,0.0001537467136904321,0.5,434.8
regnet_y_400mf_palpebral_v2_clean,regnet_y_400mf,palpebral,0.5748283752860412,0.4248665141113654,0.7246567505720822,0.14989511823035842,0.019696774091935168,0.9016666666666667,0.8005952380952381,0.9732291666666667,0.8656875834445927,0.8218108993809928,0.9058168467046971,-0.3268382913806254,-0.4943377805927862,-0.15039388552904023,True,1311,1680,5,5,42,0.0011249436130085291,0.00011856737112037188,0.2,648.4
mobilenet_v3_small_palpebral_v2_clean,mobilenet_v3_small,palpebral,0.5221967963386728,0.37299771167048057,0.6690122044241034,0.1480072463768114,0.03167405907687784,0.6042857142857143,0.4339136904761905,0.7684672619047618,0.5785896346644009,0.47842881417647776,0.6713223692195655,-0.08208891794704151,-0.31318455786204635,0.14315534079764622,False,1311,1680,5,5,42,0.08088564223049027,1.0422971466648463e-06,0.5,107.8
efficientnet_b0_palpebral_v2_clean,efficientnet_b0,palpebral,0.4959572845156369,0.3196033562166285,0.6811594202898551,0.1807780320366133,0.069993629109088,0.6599999999999999,0.486889880952381,0.8047916666666666,0.6538900351984465,0.4916616094186188,0.7517993688554435,-0.16404271548436306,-0.39106706984853434,0.05204546692819,False,1311,1680,5,5,42,0.03142880890840111,4.335281794951567e-06,0.5,183.8
regnet_y_400mf_forniceal_palpebral_v2_clean,regnet_y_400mf,forniceal_palpebral,0.4900076277650648,0.3287566742944318,0.643039664378337,0.15714149504195263,0.04662492844046325,0.9197868087941373,0.8474183877415056,0.9700366422385076,0.8444014447884417,0.8018511351909184,0.8822336171310629,-0.42977918102907237,-0.6035696009423668,-0.24612142629551326,True,1311,1501,5,5,42,0.0013292918943162175,0.0007114476009343421,0.2,671.0
